name,size,rank,time,comparisons
quickselect,1000,500,0.000024,3997
quickselect,1000,500,0.000014,3083
quickselect,1000,500,0.000017,3791
quickselect,1000,500,0.000018,3942
quickselect,1000,500,0.000013,2695
quickselect,1000,500,0.000015,2934
quickselect,1000,500,0.000014,3281
quickselect,1000,500,0.000014,3050
quickselect,1000,500,0.000015,3184
quickselect,1000,500,0.000014,3383
quickselect,1000,500,0.000013,2499
quickselect,1000,500,0.000016,4198
quickselect,1000,500,0.000013,3271
quickselect,1000,500,0.000013,3568
quickselect,1000,500,0.000017,5199
quickselect,1000,500,0.000015,3196
quickselect,1000,500,0.000020,3635
quickselect,1000,500,0.000025,5268
quickselect,1000,500,0.000012,2453
quickselect,1000,500,0.000026,3971
quickselect,1000,500,0.000020,3629
quickselect,1000,500,0.000016,3018
quickselect,1000,500,0.000015,2608
quickselect,1000,500,0.000024,2757
quickselect,1000,500,0.000021,4486
quickselect,1000,500,0.000018,3837
quickselect,1000,500,0.000011,2005
quickselect,1000,500,0.000015,3127
quickselect,1000,500,0.000011,1898
quickselect,1000,500,0.000022,2829
quickselect,1000,500,0.000017,2712
quickselect,1000,500,0.000020,2701
quickselect,1000,500,0.000018,2844
quickselect,1000,500,0.000047,4334
quickselect,1000,500,0.000020,2086
quickselect,1000,500,0.000036,3117
quickselect,1000,500,0.000017,2205
quickselect,1000,500,0.000021,3977
quickselect,1000,500,0.000020,2873
quickselect,1000,500,0.000020,3019
quickselect,1000,500,0.000012,1652
quickselect,1000,500,0.000021,3483
quickselect,1000,500,0.000014,1877
quickselect,1000,500,0.000022,3435
quickselect,1000,500,0.000020,2952
quickselect,1000,500,0.000020,2457
quickselect,1000,500,0.000019,3546
quickselect,1000,500,0.000013,2533
quickselect,1000,500,0.000017,3997
quickselect,1000,500,0.000013,2638
quickselect,1000,500,0.000020,5604
quickselect,1000,500,0.000016,3689
quickselect,1000,500,0.000012,2191
quickselect,1000,500,0.000013,2909
quickselect,1000,500,0.000017,4063
quickselect,1000,500,0.000012,2551
quickselect,1000,500,0.000018,5134
quickselect,1000,500,0.000016,4085
quickselect,1000,500,0.000015,4010
quickselect,1000,500,0.000012,2818
quickselect,1000,500,0.000010,1887
quickselect,1000,500,0.000016,3966
quickselect,1000,500,0.000016,3157
quickselect,1000,500,0.000012,2369
quickselect,1000,500,0.000015,3381
quickselect,1000,500,0.000015,3965
quickselect,1000,500,0.000008,1540
quickselect,1000,500,0.000012,2552
quickselect,1000,500,0.000014,3111
quickselect,1000,500,0.000013,3050
quickselect,1000,500,0.000012,2528
quickselect,1000,500,0.000014,3615
quickselect,1000,500,0.000013,2252
quickselect,1000,500,0.000017,5072
quickselect,1000,500,0.000016,4227
quickselect,1000,500,0.000013,2328
quickselect,1000,500,0.000011,2100
quickselect,1000,500,0.000013,2872
quickselect,1000,500,0.000012,2890
quickselect,1000,500,0.000016,4628
quickselect,1000,500,0.000012,2451
quickselect,1000,500,0.000017,3778
quickselect,1000,500,0.000010,2722
quickselect,1000,500,0.000014,3741
quickselect,1000,500,0.000017,4809
quickselect,1000,500,0.000017,4379
quickselect,1000,500,0.000016,4496
quickselect,1000,500,0.000016,3700
quickselect,1000,500,0.000013,3213
quickselect,1000,500,0.000013,2808
quickselect,1000,500,0.000014,3062
quickselect,1000,500,0.000014,2712
quickselect,1000,500,0.000014,3013
quickselect,1000,500,0.000016,2197
quickselect,1000,500,0.000016,3961
quickselect,1000,500,0.000012,2384
quickselect,1000,500,0.000016,2620
quickselect,1000,500,0.000017,3551
quickselect,1000,500,0.000019,4529
quickselect,1000,500,0.000018,3426
quickselect,1000,500,0.000015,2557
quickselect,1000,500,0.000020,4019
quickselect,1000,500,0.000019,3725
quickselect,1000,500,0.000017,3630
quickselect,1000,500,0.000010,2011
quickselect,1000,500,0.000017,3523
quickselect,1000,500,0.000019,5342
quickselect,1000,500,0.000012,3003
quickselect,1000,500,0.000014,2952
quickselect,1000,500,0.000009,2157
quickselect,1000,500,0.000020,3622
quickselect,1000,500,0.000019,4123
quickselect,1000,500,0.000021,4191
quickselect,1000,500,0.000013,2277
quickselect,1000,500,0.000012,1982
quickselect,1000,500,0.000014,3670
quickselect,1000,500,0.000012,2159
quickselect,1000,500,0.000020,5465
quickselect,1000,500,0.000011,2153
quickselect,1000,500,0.000011,2807
quickselect,1000,500,0.000015,2809
quickselect,1000,500,0.000014,3302
quickselect,1000,500,0.000018,3818
quickselect,1000,500,0.000015,3351
quickselect,1000,500,0.000014,2908
quickselect,1000,500,0.000019,5895
quickselect,1000,500,0.000015,2872
quickselect,1000,500,0.000015,4000
quickselect,1000,500,0.000011,2345
quickselect,1000,500,0.000015,3314
quickselect,1000,500,0.000008,1910
quickselect,1000,500,0.000011,2256
quickselect,1000,500,0.000015,3636
quickselect,1000,500,0.000010,1967
quickselect,1000,500,0.000014,2971
quickselect,1000,500,0.000015,3340
quickselect,1000,500,0.000013,2510
quickselect,1000,500,0.000015,2879
quickselect,1000,500,0.000020,4995
quickselect,1000,500,0.000016,4222
quickselect,1000,500,0.000021,6135
quickselect,1000,500,0.000016,3952
quickselect,1000,500,0.000016,3807
quickselect,1000,500,0.000014,2944
quickselect,1000,500,0.000013,2872
quickselect,1000,500,0.000016,3715
quickselect,1000,500,0.000017,4783
quickselect,1000,500,0.000012,2318
quickselect,1000,500,0.000016,3902
quickselect,1000,500,0.000019,4819
quickselect,1000,500,0.000014,3167
quickselect,1000,500,0.000013,3032
quickselect,1000,500,0.000016,3787
quickselect,1000,500,0.000012,2928
quickselect,1000,500,0.000013,3627
quickselect,1000,500,0.000008,1644
quickselect,1000,500,0.000016,4376
quickselect,1000,500,0.000011,2753
quickselect,1000,500,0.000020,5539
quickselect,1000,500,0.000014,3185
quickselect,1000,500,0.000014,3526
quickselect,1000,500,0.000012,3082
quickselect,1000,500,0.000012,2507
quickselect,1000,500,0.000013,3211
quickselect,1000,500,0.000013,2637
quickselect,1000,500,0.000013,3472
quickselect,1000,500,0.000015,3507
quickselect,1000,500,0.000018,4800
quickselect,1000,500,0.000024,2492
quickselect,1000,500,0.000014,3387
quickselect,1000,500,0.000016,3616
quickselect,1000,500,0.000011,2610
quickselect,1000,500,0.000016,2411
quickselect,1000,500,0.000017,2701
quickselect,1000,500,0.000015,2622
quickselect,1000,500,0.000015,3318
quickselect,1000,500,0.000019,4605
quickselect,1000,500,0.000016,3392
quickselect,1000,500,0.000020,5073
quickselect,1000,500,0.000016,3435
quickselect,1000,500,0.000012,2519
quickselect,1000,500,0.000019,5514
quickselect,1000,500,0.000013,2729
quickselect,1000,500,0.000016,3451
quickselect,1000,500,0.000012,2463
quickselect,1000,500,0.000019,5735
quickselect,1000,500,0.000014,3396
quickselect,1000,500,0.000018,4893
quickselect,1000,500,0.000013,3122
quickselect,1000,500,0.000011,2413
