name,size,time,comparisons
quicksort,194000,0.016302,2029897
quicksort,195000,0.015156,1971768
quicksort,196000,0.015462,2261204
quicksort,197000,0.015963,2175512
quicksort,198000,0.015442,2150422
quicksort,199000,0.015334,2071490
quicksort,200000,0.015226,2216909
quicksort,201000,0.015989,2062375
quicksort,202000,0.015794,2069608
quicksort,203000,0.016841,2218415
quicksort,204000,0.017065,2196347
quicksort,205000,0.016110,2126556
quicksort,206000,0.016009,2194194
quicksort,207000,0.015657,2342598
quicksort,208000,0.016225,2284143
quicksort,209000,0.016857,2234115
quicksort,210000,0.017423,2466151
quicksort,211000,0.017613,2481306
quicksort,212000,0.016742,2131020
quicksort,213000,0.017354,2179845
quicksort,214000,0.016924,2424511
quicksort,215000,0.017198,2265496
quicksort,216000,0.016799,2394128
quicksort,217000,0.019843,2304395
quicksort,218000,0.017606,2197849
quicksort,219000,0.017375,2786381
quicksort,220000,0.017590,2386601
quicksort,221000,0.017798,2235040
quicksort,222000,0.019377,2393057
quicksort,223000,0.017956,2219544
quicksort,224000,0.018181,2278212
quicksort,225000,0.018441,2405894
quicksort,226000,0.017763,2555529
quicksort,227000,0.017640,2509566
quicksort,228000,0.018427,2392775
quicksort,229000,0.019053,2601988
quicksort,230000,0.018321,2318422
quicksort,231000,0.018853,2283467
quicksort,232000,0.018751,2688876
quicksort,233000,0.018693,2497246
quicksort,234000,0.018730,2433518
quicksort,235000,0.018848,2370430
quicksort,236000,0.019003,2600423
quicksort,237000,0.019963,2482342
quicksort,238000,0.022105,2449966
quicksort,239000,0.018981,2344313
quicksort,240000,0.019687,2856436
quicksort,241000,0.019796,2520004
quicksort,242000,0.020404,2425404
quicksort,243000,0.019953,2569057
quicksort,244000,0.020342,2866311
quicksort,245000,0.019463,2503172
quicksort,246000,0.021102,2638518
quicksort,247000,0.021438,2677024
quicksort,248000,0.020251,2759991
quicksort,249000,0.019770,2740115
quicksort,250000,0.020058,2854531
quicksort,251000,0.019538,2908095
quicksort,252000,0.020117,2763914
quicksort,253000,0.020394,2916619
quicksort,254000,0.020160,2842691
quicksort,255000,0.027416,2721324
quicksort,256000,0.023568,2882130
quicksort,257000,0.020893,2805149
quicksort,258000,0.021033,2834531
quicksort,259000,0.021193,2703265
quicksort,260000,0.020806,2603839
quicksort,261000,0.021710,2983381
quicksort,262000,0.021336,2776670
quicksort,263000,0.020860,2950905
quicksort,264000,0.022396,2898979
quicksort,265000,0.021029,2764286
quicksort,266000,0.022014,3064088
quicksort,267000,0.022656,3019720
quicksort,268000,0.021725,2765746
quicksort,269000,0.021770,2873924
quicksort,270000,0.022274,3065360
quicksort,271000,0.022551,2915363
quicksort,272000,0.021980,3254901
quicksort,273000,0.022884,3325793
quicksort,274000,0.024632,3089404
quicksort,275000,0.023673,3141242
quicksort,276000,0.022807,3244984
quicksort,277000,0.022159,3027267
quicksort,278000,0.024626,3654352
quicksort,279000,0.022778,3117890
quicksort,280000,0.022314,3255590
quicksort,281000,0.022975,3456936
quicksort,282000,0.022400,3636686
quicksort,283000,0.023737,3087372
quicksort,284000,0.023026,3109073
quicksort,285000,0.023360,3201980
quicksort,286000,0.023847,3856687
quicksort,287000,0.023390,2977076
quicksort,288000,0.023950,3814649
quicksort,289000,0.025666,3259157
quicksort,290000,0.024689,3092155
quicksort,291000,0.029805,3195995
quicksort,292000,0.024528,3472531
quicksort,293000,0.024479,3031816
quicksort,294000,0.023984,3345062
quicksort,295000,0.023537,3260938
quicksort,296000,0.023760,3458645
quicksort,297000,0.023940,3228495
quicksort,298000,0.023630,3476843
quicksort,299000,0.025239,3322852
quicksort,300000,0.025259,3594765
quicksort,301000,0.024706,3217922
quicksort,302000,0.025432,3674430
quicksort,303000,0.024396,3125265
quicksort,304000,0.024507,3325748
quicksort,305000,0.024525,3306935
quicksort,306000,0.023815,3604505
quicksort,307000,0.027323,3273964
quicksort,308000,0.025771,3606221
quicksort,309000,0.025149,3687703
quicksort,310000,0.025189,3304345
quicksort,311000,0.025595,3390151
quicksort,312000,0.024633,3557426
quicksort,313000,0.025652,3444592
quicksort,314000,0.025945,3670568
quicksort,315000,0.025076,3408380
quicksort,316000,0.025059,3384103
quicksort,317000,0.025159,3637322
quicksort,318000,0.024951,3556389
quicksort,319000,0.025115,3517159
quicksort,320000,0.028035,3445923
quicksort,321000,0.033274,3587256
quicksort,322000,0.035563,3720111
quicksort,323000,0.028021,3514356
quicksort,324000,0.028072,3517295
quicksort,325000,0.027509,3585875
quicksort,326000,0.026684,3478005
quicksort,327000,0.026321,3477983
quicksort,328000,0.026734,3460918
quicksort,329000,0.026241,3940884
quicksort,330000,0.026787,3689993
quicksort,331000,0.028012,3631737
quicksort,332000,0.027365,4006138
quicksort,333000,0.028233,3695399
quicksort,334000,0.028116,4308044
quicksort,335000,0.027784,3684494
quicksort,336000,0.027082,3692348
quicksort,337000,0.028986,3554856
quicksort,338000,0.028072,3968214
quicksort,339000,0.028458,3751442
quicksort,340000,0.027827,3689252
quicksort,341000,0.028383,3738864
quicksort,342000,0.028309,3926764
quicksort,343000,0.028089,3930176
quicksort,344000,0.028792,3758090
quicksort,345000,0.028164,4104674
quicksort,346000,0.029165,3867355
quicksort,347000,0.029767,4007577
quicksort,348000,0.029110,3605097
quicksort,349000,0.030938,3803620
quicksort,350000,0.029604,4017376
quicksort,351000,0.029430,3732003
quicksort,352000,0.028838,4366423
quicksort,353000,0.029484,4065214
quicksort,354000,0.030151,3747048
quicksort,355000,0.029065,4174278
quicksort,356000,0.029073,3810863
quicksort,357000,0.030018,3933869
quicksort,358000,0.030691,4054133
quicksort,359000,0.029748,4123006
quicksort,360000,0.029452,3926827
quicksort,361000,0.029571,4013849
quicksort,362000,0.030294,3842676
quicksort,363000,0.029434,3826275
quicksort,364000,0.031629,4737430
quicksort,365000,0.031059,4308483
quicksort,366000,0.030722,3945372
quicksort,367000,0.031415,4202264
quicksort,368000,0.031107,4097550
quicksort,369000,0.030403,4132072
quicksort,370000,0.030789,4245453
quicksort,371000,0.030229,3878831
quicksort,372000,0.032040,4514246
quicksort,373000,0.031161,4056470
quicksort,374000,0.032357,5113996
quicksort,375000,0.031043,3772350
quicksort,376000,0.031154,4282806
quicksort,377000,0.031851,4471353
quicksort,378000,0.032936,4341782
quicksort,379000,0.032637,4376034
quicksort,380000,0.032198,4179419
quicksort,381000,0.031402,4176057
quicksort,382000,0.031028,4693344
quicksort,383000,0.032199,4204926
quicksort,384000,0.031766,4018849
quicksort,385000,0.031946,4405599
quicksort,386000,0.031297,4046924
quicksort,387000,0.032225,4172764
quicksort,388000,0.033447,4802517
quicksort,389000,0.032046,4334090
quicksort,390000,0.033825,4558591
quicksort,391000,0.032708,4379140
quicksort,392000,0.032975,4703245
quicksort,393000,0.033365,4480532
quicksort,394000,0.034038,4346264
quicksort,395000,0.033154,4922430
quicksort,396000,0.033107,4684556
quicksort,397000,0.033756,4619645
quicksort,398000,0.033129,4620322
quicksort,399000,0.034168,4543848
quicksort,400000,0.032540,4664949
quicksort,401000,0.033686,4292587
quicksort,402000,0.037282,4906627
quicksort,403000,0.032955,4503016
quicksort,404000,0.034649,4729020
quicksort,405000,0.033421,4541529
quicksort,406000,0.033623,4509601
quicksort,407000,0.033551,4713741
quicksort,408000,0.035718,4428421
quicksort,409000,0.034309,4621371
quicksort,410000,0.035679,4671385
quicksort,411000,0.035828,5155259
quicksort,412000,0.034518,4820844
quicksort,413000,0.034665,4947173
quicksort,414000,0.039243,4786447
quicksort,415000,0.034758,4705572
quicksort,416000,0.034840,4706012
quicksort,417000,0.035790,4898349
quicksort,418000,0.035246,4493048
quicksort,419000,0.035328,4667755
quicksort,420000,0.036048,5204008
quicksort,421000,0.034907,5487714
quicksort,422000,0.035107,5140473
quicksort,423000,0.035611,4841026
quicksort,424000,0.035737,4544936
quicksort,425000,0.038684,5415158
quicksort,426000,0.043848,4804945
quicksort,427000,0.035590,5487366
quicksort,428000,0.037649,4846862
quicksort,429000,0.036375,5432415
quicksort,430000,0.035827,4893399
quicksort,431000,0.036349,4677459
quicksort,432000,0.035504,5170923
quicksort,433000,0.035466,4542328
quicksort,434000,0.037490,5142361
quicksort,435000,0.035551,4901905
quicksort,436000,0.036249,5060264
quicksort,437000,0.036070,4871415
quicksort,438000,0.035756,5378841
quicksort,439000,0.040770,4954898
quicksort,440000,0.037396,5016011
quicksort,441000,0.036731,4907988
quicksort,442000,0.038244,4859713
quicksort,443000,0.037236,5299406
quicksort,444000,0.036836,5226418
quicksort,445000,0.036609,5154273
quicksort,446000,0.037436,4917887
quicksort,447000,0.038066,5048813
quicksort,448000,0.036420,4821527
quicksort,449000,0.038157,5224449
quicksort,450000,0.042097,5473738
quicksort,451000,0.037750,5207795
quicksort,452000,0.040069,5049796
quicksort,453000,0.037081,5280026
quicksort,454000,0.043492,5371976
quicksort,455000,0.038447,5114515
quicksort,456000,0.042986,5092117
quicksort,457000,0.042091,5533820
quicksort,458000,0.043222,5080209
quicksort,459000,0.039647,5310918
quicksort,460000,0.054174,5455101
quicksort,461000,0.043587,5344301
quicksort,462000,0.038893,5222429
quicksort,463000,0.039754,5152547
quicksort,464000,0.040815,5492446
quicksort,465000,0.040111,5196736
quicksort,466000,0.039893,5557145
quicksort,467000,0.040364,5673917
quicksort,468000,0.040339,4940631
quicksort,469000,0.039565,5258765
quicksort,470000,0.039421,5422445
quicksort,471000,0.041848,5451675
quicksort,472000,0.039677,5374459
quicksort,473000,0.039617,5330583
quicksort,474000,0.041105,4944859
quicksort,475000,0.045366,5802199
quicksort,476000,0.051114,6104588
quicksort,477000,0.046955,5422693
quicksort,478000,0.052163,5900080
quicksort,479000,0.045145,6010806
quicksort,480000,0.041241,5265712
quicksort,481000,0.039656,5314385
quicksort,482000,0.042699,5890916
quicksort,483000,0.041459,6304903
quicksort,484000,0.041412,5360149
quicksort,485000,0.041110,5569679
quicksort,486000,0.041987,5489354
quicksort,487000,0.041727,5804051
quicksort,488000,0.041709,5222142
quicksort,489000,0.041002,5745847
quicksort,490000,0.043652,5900239
quicksort,491000,0.041769,5722876
quicksort,492000,0.048082,5969105
quicksort,493000,0.041873,6154610
quicksort,494000,0.049026,5390095
quicksort,495000,0.042285,5669548
quicksort,496000,0.042273,5664911
quicksort,497000,0.041568,5829457
quicksort,498000,0.043209,5672865
quicksort,499000,0.042015,6574898
quicksort,500000,0.044236,5369153
quicksort,501000,0.041898,5911948
quicksort,502000,0.045646,5928042
quicksort,503000,0.043905,5860545
quicksort,504000,0.045727,5395266
quicksort,505000,0.046985,5827402
quicksort,506000,0.046060,5750340
